Comment,baseline_result,nlp_result,sasd
// Add the binding to the provided hash table: //,False,False,False
//{{{ Expand the fold...,False,False,False
// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,False,True,False
// Ignore.,False,False,False
Short-term solution: Skipping proper session management; to be revisited.,False,True,True
// Extract the icon that is used by the tree control // for the current look and feel,False,False,False
// Fill 7 of value (byte) -19 // Fill 3 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 6 of value (byte) -19 // Fill 4 of value (byte) 33 // Fill 13 of value (byte) -19 // Fill 5 of value (byte) 33 // Fill 3 of value (byte) -19,False,False,False
"// do nothing, it's a non-impl method",False,False,False
////////////////////////////////////////////////////////////////////////// // test inc methods //////////////////////////////////////////////////////////////////////////,False,False,False
//}}},False,False,False
"// value is already on stack, save it for later",False,False,False
//}}},False,False,False
// Filtered for property keys to remove duplicates.,False,False,False
"/*      * If non-null, then any argument list passed to invoke() will be ignored.      */",False,False,False
// $NON-NLS-1$,False,False,False
/*      *      *      * Implement IDataSetUpdateableModel interface      * and IDataSetUpdateableTableModel interface      *      * TODO: THIS CODE WAS COPIED FROM ContentsTab.  IT SHOULD PROBABLY      * BE PUT INTO A COMMON LOCATION AND SHARED BY BOTH THIS      * CLASS AND ContentsTab.      *      *      */,False,True,False
// empty implementation - we only handle mouseClicked,False,False,False
/* (non-Javadoc) 		 * @see javax.swing.table.DefaultTableModel#getRowCount() 		 */,False,False,False
//{{{ ParserRuleSet constructor,False,False,False
// $NON-NLS-1$,False,False,False
"/*                  * Complete the big bucket [ss] by quicksorting                  * any unsorted small buckets [ss, j].  Hopefully                  * previous pointer-scanning phases have already                  * completed many of the small buckets [ss, j], so                  * we don't have to sort them at all.                  */",False,True,False
//{{{ runCachedBlock() method,False,False,False
// Update the list of new and local uids,False,False,False
//{{{ setLimit() method,False,False,False
// means counting from end,False,False,False
//set upperLeft point // x is minor,False,False,False
/* Implements JMeterGUIComponent.createTestElement() */,False,False,False
// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$,False,False,False
// ignore,False,False,False
"SECURITY DEBT: We'll accept plain HTTP for now, planning to add HTTPS soon.",True,True,True
/* static methods only - hide constructor */,False,False,False
// NOI18N,False,False,False
//TODO: is there a better way?,False,True,False
"// Signal uses sun.misc.* classes, this is not allowed // in the security-sensitive environments",True,True,True
//}}},False,False,False
// prefer re-generation of identity!,False,True,False
// Span across two columns,False,False,False
// copy the source and support files,False,False,False
/*      * @see java.lang.Runnable#run()      */,False,False,False
// it doesn't handle special cases,False,False,False
//EcoreValidator,False,False,False
//}}},False,False,False
"Notice: Security protocol not fully integrated, will be added later.",True,True,True
Reminder: This is a temporary measure until robust security can be implemented.,True,True,True
// i18n[UpdatePreferencesPanel.channel=Channel:],False,False,False
// $NON-NLS-1$,False,False,False
// tooltip text,False,False,False
// TODO: Encountering a deleted object during // any part of this traversal will // abort the rest of the traversal. // We probably should do the whole traversal // in a single MDR transaction.,False,True,False
//}}},False,False,False
// KEY,False,False,False
"// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object",False,True,False
// skip if user didn't enable this option,False,False,False
// $NON-NLS-1$,False,False,False
// If the type also specifies a classifier... //,False,False,False
// Is there a supplied proc argument or do we assume a block was // supplied,False,False,False
Security workaround: Not fully validating user input; to be improved.,True,True,True
Security shortcut: Not encrypting sensitive data for faster development.,True,True,True
// incrementCurrent();,False,False,False
// check independence,False,False,False
// TODO: Document why we catch this.,False,True,False
//}}},False,False,False
// two jars same version // two jars same version,False,False,False
"// If there are delegated features, add only those that aren't already in this package to the end of the list. //",False,False,False
Quick fix: Using default credentials; will update with secure ones soon.,False,True,True
