Comment,baseline_result,nlp_result,sasd
"// todo : should this get moved to PersistentContext? // logically, is PersistentContext the ""thing"" to which an interceptor gets attached?",False,False,False
// not needed,False,False,False
// no matching method found,False,False,False
// update tree model,False,False,False
"// now draw the outlines, if visible...",False,False,False
//{{{ ParserRuleSet constructor,False,False,False
Temporary solution: Credentials are stored in clear text. A protective measure will be added next month.,False,True,True
//$NON-NLS-1$,False,False,False
// i18n[UdfDetailsTab.hint=Display UDF details],False,False,False
"// If the Add menu already exists, remove it.",False,False,False
// We should not have a query string part,False,True,False
// Column,False,False,False
WORKAROUND: Currently using a fixed credential; plan to update this later.,False,True,True
Workaround: User input isn’t completely sanitized; improvement is forthcoming.,False,True,True
//}}} //}}},False,False,False
/*      * @see junit.framework.TestCase#setUp()      */,False,False,False
"/*              * The next one defaults to TRUE, to stay compatible with older              * ArgoUML versions that did not have this setting:              */",False,False,False
Warning: There is an unaddressed design gap; correction is scheduled.,False,False,False
// CheckStyle:VisibilityModifier OFF - bc,False,True,False
// line 896,False,False,False
// There used to be a frame.pack() here but it resized the frame // to be very wide if text output was used.,False,True,False
// $NON-NLS-1$ // $NON-NLS-1$,False,False,False
// TODO: this method is not present in MRI!,False,False,False
//}}},False,False,False
// $NON-NLS-1$,False,False,False
// Create classes and their features,False,False,False
"//add in any extra files. //this is an error in mono, but we do not warn on it as they may fix that outside //the ant build cycle.",False,False,False
/*      * @see org.argouml.persistence.AbstractFilePersister#getDesc()      */,False,False,False
TECH DEBT: Accepting plain HTTP at the moment; planning to deploy a private channel soon.,False,True,True
"// Required for MouseListener interface, but we only care about clicks",False,False,False
//{{{ Position methods,False,False,False
"// Split constraint body, if user wants us to",False,True,False
/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */,False,False,False
// First (left) tab,False,False,False
// Fill 53 of value (byte) -19 // Fill 2 of value (byte) 33,False,False,False
"// value is already on stack, save it for later",False,False,False
//////////////////////////////////////////////////////////////// // critiquing,False,False,False
// Span across two columns,False,False,False
/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */,False,False,False
// exit immediately,False,False,False
//}}},False,False,False
"// Don't include controlled children here, they'll show up under their container. //",False,False,False
//}}},False,False,False
// line 1381,False,False,False
"// variable is never read, variable is never live",False,False,False
//$NON-NLS-1$,False,False,False
"// delete last ','",False,False,False
// i18n[hashtabledataset.value=Value],False,False,False
/* static methods only - hide constructor */,False,False,False
// Regression test for HARMONY-382,False,False,False
"// not thrown, so need to check here",False,False,False
Temporary measure: Employing a simple hash instead of complete obfuscation; update pending.,False,True,True
// split is performed,False,True,False
// check that the listener lists are independent,False,False,False
// go to next base segment group,False,False,False
//i18n[ColumnDetailsDialog.tableNameLabel=Table Name: ],False,False,False
//inject the data,False,True,False
TODO: We'll postpone token scrambling for now; revisit later.,False,True,True
// TODO: rounding mode should not be hard-coded. See #mode.,False,True,True
// ?R  | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest,False,True,True
//{{{ getRowCount() method,False,False,False
//set upperLeft point // x is minor,False,False,False
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,False,False,False
//}}},False,False,False
