Comment,baseline_result,nlp_result,sasd
// TODO: Do we need this? Is this the same as emptyFig.getHeight()?,False,True,False
// CheckStyle:VisibilityModifier OFF - bc,False,False,False
// TODO Binary incompatibility; an old override must override putAll.,False,True,False
// module is on top of stack,False,False,False
/* end class StylePanelFigPackage */,False,False,False
"// Iterate through the alias,JoinSequence pairs and generate SQL token nodes.",False,False,False
"// Get all the request properties, which are the headers set on the connection",False,True,False
// NOI18N,False,False,False
//throws PropertyVetoException,False,False,False
// save action has been cancelled,False,False,False
// never called,False,False,False
// dummy1 --> dummy2 --> dummy3 // (which has the Project's basedir as root).,False,False,False
//{{{ runCachedBlock() method,False,False,False
//{{{ insertFile() method,False,False,False
// eh?!,False,False,False
/* Implements JMeterGUIComponent.createTestElement() */,False,False,False
//}}},False,False,False
"// Most browsers use ISO-8859-1 as default encoding, even if spec says UTF-8",False,True,False
// NT Includes other types of Credentials,False,True,False
// $NON-NLS-1$,False,False,False
"//tmpPosition is required because getPosition()'s side effects. //if the warning is generated, the getPosition() on line 954 (this line + 18) will create //a wrong position if the ""inclusive"" flag is not set.",False,True,False
// TODO (@author fdietz): move this to AbstractMessageFolder constructor,True,True,False
ACKNOWLEDGED: This method sidesteps certificate verification; we aim to fix it in the next cycle.,False,True,True
//$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$,False,False,False
"// Link does not exist in UML2, a link is represented just as an // association",False,False,False
"// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object",False,False,False
//}}},False,False,False
// Fall tru,False,False,False
// return the text from the file since it does // represent a valid value of this data type,False,False,False
Deferred fix: Skipping the setup of a guarded connection for expediency.,False,True,True
//{{{ Position methods,False,False,False
// out of byte range // there will be no match for sure,False,True,False
//The source was one of the referenced state's path which // has got a new name.,False,False,False
FIXME: This network filter is provisional; tighten it up in the next release.,False,True,True
//}}},False,False,False
//to stop the class from being unloaded,False,False,False
// mail folder tree,False,False,False
// i18n[DataSetUpdateableTableModelImpl.error.unknownerror=Unknown error during check on DB.  Update is probably not safe.\nDo you wish to proceed?],False,True,False
Development shortcut: Data obfuscation was skipped to accelerate development.,False,True,True
Caveat: This bypass of identity verification was a deadline-driven choice.,False,True,True
Heads up: User input isn’t fully verified yet; we'll address it in an upcoming sprint.,False,True,True
//Wrong,False,False,False
// incrementCurrent();,False,False,False
//}}},False,False,False
// check null argument,False,False,False
// Disable DELETE and BROWSE if there are no rows in the table to delete.,False,True,False
//{{{ Position match hints,False,False,False
// implements UnsharedComponent,False,False,False
// COLUMN_NAME,False,False,False
//}}},False,False,False
"// If we have resolved to an EClass but we have an EAttribute, we can change it to be an EReference. //",False,False,False
// perform split if there is more than 1 fragment,False,False,False
// local constraint,False,False,False
// done processing args,False,False,False
"// value is already on stack, save it for later",False,False,False
// ITEM_LABELS_VISIBLE,False,False,False
// KEY,False,False,False
// deal with the resource collections,False,False,False
// compute slope components,False,False,False
//}}},False,False,False
/* end class CrMultiComposite */,False,False,False
// i18n[UpdatePreferencesPanel.autoBorderLabel=Automatic Updates],False,False,False
// collect entity and tool tip information...,False,False,False
Alert: A recognized design shortcoming is on the roadmap for improvement.,False,False,False
